sample_id,ref_kw,base_hits,trained_hits,cov_base,cov_trained,delta
sample_000000,31,16,8,0.5161290322580645,0.25806451612903225,-0.25806451612903225
sample_000001,30,13,1,0.43333333333333335,0.03333333333333333,-0.4
sample_000002,23,6,11,0.2608695652173913,0.4782608695652174,0.2173913043478261
sample_000003,19,7,8,0.3684210526315789,0.42105263157894735,0.05263157894736842
sample_000004,31,1,11,0.03225806451612903,0.3548387096774194,0.32258064516129037
sample_000005,63,30,32,0.47619047619047616,0.5079365079365079,0.031746031746031744
sample_000006,28,4,13,0.14285714285714285,0.4642857142857143,0.32142857142857145
sample_000007,15,1,2,0.06666666666666667,0.13333333333333333,0.06666666666666667
sample_000008,34,15,19,0.4411764705882353,0.5588235294117647,0.11764705882352944
sample_000009,13,1,0,0.07692307692307693,0.0,-0.07692307692307693
sample_000010,65,2,41,0.03076923076923077,0.6307692307692307,0.6
sample_000011,41,21,18,0.5121951219512195,0.43902439024390244,-0.07317073170731708
sample_000012,48,28,4,0.5833333333333334,0.08333333333333333,-0.5
sample_000013,35,11,10,0.3142857142857143,0.2857142857142857,-0.02857142857142858
sample_000014,52,23,25,0.4423076923076923,0.4807692307692308,0.03846153846153849
sample_000015,35,14,12,0.4,0.34285714285714286,-0.05714285714285716
sample_000016,29,7,14,0.2413793103448276,0.4827586206896552,0.2413793103448276
sample_000017,49,20,27,0.40816326530612246,0.5510204081632653,0.1428571428571428
sample_000018,39,14,12,0.358974358974359,0.3076923076923077,-0.051282051282051266
sample_000019,40,16,19,0.4,0.475,0.07499999999999996
sample_000020,11,1,1,0.09090909090909091,0.09090909090909091,0.0
sample_000021,27,5,2,0.18518518518518517,0.07407407407407407,-0.1111111111111111
sample_000022,57,31,33,0.543859649122807,0.5789473684210527,0.03508771929824561
sample_000023,46,14,12,0.30434782608695654,0.2608695652173913,-0.043478260869565244
sample_000024,43,1,20,0.023255813953488372,0.46511627906976744,0.4418604651162791
sample_000025,13,1,1,0.07692307692307693,0.07692307692307693,0.0
sample_000026,33,6,12,0.18181818181818182,0.36363636363636365,0.18181818181818182
sample_000027,17,1,1,0.058823529411764705,0.058823529411764705,0.0
sample_000028,21,3,2,0.14285714285714285,0.09523809523809523,-0.047619047619047616
sample_000029,56,33,27,0.5892857142857143,0.48214285714285715,-0.10714285714285715
sample_000030,49,32,37,0.6530612244897959,0.7551020408163265,0.10204081632653061
sample_000031,21,7,5,0.3333333333333333,0.23809523809523808,-0.09523809523809523
sample_000032,64,31,31,0.484375,0.484375,0.0
sample_000033,21,9,13,0.42857142857142855,0.6190476190476191,0.19047619047619052
sample_000034,20,4,3,0.2,0.15,-0.05000000000000002
sample_000035,59,22,25,0.3728813559322034,0.423728813559322,0.05084745762711862
sample_000036,43,13,11,0.3023255813953488,0.2558139534883721,-0.046511627906976716
sample_000037,48,33,35,0.6875,0.7291666666666666,0.04166666666666663
sample_000038,59,22,23,0.3728813559322034,0.3898305084745763,0.01694915254237289
sample_000039,39,21,17,0.5384615384615384,0.4358974358974359,-0.10256410256410253
sample_000040,62,32,38,0.5161290322580645,0.6129032258064516,0.09677419354838712
sample_000041,30,2,9,0.06666666666666667,0.3,0.23333333333333334
sample_000042,45,20,33,0.4444444444444444,0.7333333333333333,0.28888888888888886
sample_000043,32,13,18,0.40625,0.5625,0.15625
sample_000044,32,5,8,0.15625,0.25,0.09375
sample_000045,46,23,19,0.5,0.41304347826086957,-0.08695652173913043
sample_000046,11,0,0,0.0,0.0,0.0
sample_000047,59,4,35,0.06779661016949153,0.5932203389830508,0.5254237288135593
sample_000048,13,0,0,0.0,0.0,0.0
sample_000049,56,17,26,0.30357142857142855,0.4642857142857143,0.16071428571428575
sample_000050,11,1,1,0.09090909090909091,0.09090909090909091,0.0
