index,url,video title,category,relevant
HlP6Z2dBSWY,https://www.youtube.com/watch?v=HlP6Z2dBSWY,Huge Buffalo & Beautiful Cows Compilation 2025 | Most Majestic Farm Animals Ever! 🐃🐄✨,Entertainment,no
_iMMbj-BZnw,https://www.youtube.com/watch?v=_iMMbj-BZnw,Diseases in Peanut Crops,Science & Technology,no
Tw_dQpDPO50,https://www.youtube.com/watch?v=Tw_dQpDPO50,I created a Frankenstein tomato...,Howto & Style,no
l3eTBlF7eyM,https://www.youtube.com/watch?v=l3eTBlF7eyM,Amazing Agriculture Sprayer Machine #farming,Education,no
O99DIsMmqnY,https://www.youtube.com/watch?v=O99DIsMmqnY,Orbit Tomato Drip Watering Kit,Howto & Style,no
cslckB6QPv8,https://www.youtube.com/watch?v=cslckB6QPv8,Organic Certification Process,People & Blogs,no
FPfnT0E92Xc,https://www.youtube.com/watch?v=FPfnT0E92Xc,The SHOCKING Truth About Automatic Crop Harvesting. | #shorts #facts #crop #harvest #technology,Entertainment,no
qoAY-_wuu6E,https://www.youtube.com/watch?v=qoAY-_wuu6E,How Does Regenerative Agriculture Improve Soil Health? - Ecosystem Essentials,People & Blogs,no
6UpLCQDcpx8,https://www.youtube.com/watch?v=6UpLCQDcpx8,3 tips to care for plants with beer  #garden #gardening #plants,People & Blogs,no
HzOKIkuuYvI,https://www.youtube.com/watch?v=HzOKIkuuYvI,Testing for Polluted Runoff in Pennsylvania,Nonprofits & Activism,no
acWoC3HOXdk,https://www.youtube.com/watch?v=acWoC3HOXdk,Greenhouse Planting Schedule,People & Blogs,no
ewnCILrjsMQ,https://www.youtube.com/watch?v=ewnCILrjsMQ,Explore the farmer's grape growing process: High-tech agriculture| Farming Documentary,People & Blogs,no
bprbR9YHoTA,https://www.youtube.com/watch?v=bprbR9YHoTA,Modern Dairy Farm Equipment,Pets & Animals,no
Wa-mv3ePfkk,https://www.youtube.com/watch?v=Wa-mv3ePfkk,299 Futuristic Agriculture Machines And Tools: Revolutionizing Farming in the 21st Century ▶ 11,Science & Technology,no
2osWPUviNJQ,https://www.youtube.com/watch?v=2osWPUviNJQ,Find Farm Equipment For Rent Fast & Easy On TractorHouse.com,Autos & Vehicles,no
eLU9oIYF6YE,https://www.youtube.com/watch?v=eLU9oIYF6YE,Tha life of agriculture engineer students in budhni Bhopal,Entertainment,no
OXvuAlp_dow,https://www.youtube.com/watch?v=OXvuAlp_dow,AGRICULTURA SUSTENTÁVEL -CURTA METRAGEM / DOCUMENTÁRIO,People & Blogs,no
phoHsw1-hy0,https://www.youtube.com/watch?v=phoHsw1-hy0,Winter Farming Secrets: How to Farm Successfully in Cold Weather,Science & Technology,no
ehRtFEKByN0,https://www.youtube.com/watch?v=ehRtFEKByN0,64000 FREE Points EASTER EGG on Terminus 🤯👀 | Black Ops 6 Zombies,Gaming,no
RP4Eb_0hMOs,https://www.youtube.com/watch?v=RP4Eb_0hMOs,Beginners Guide To Raising BACKYARD CHICKENS,Howto & Style,no
SPh5ioOBKkA,https://www.youtube.com/watch?v=SPh5ioOBKkA,McIntosh Farm Machinery Multi 4 Bale Feeder,Autos & Vehicles,no
JviMKb1hZ_U,https://www.youtube.com/watch?v=JviMKb1hZ_U,Building a DIY irrigation system out of PVC pipes for under $50! #garden #diy #gardening #irrigation,Howto & Style,no
